fraud,delivery_method,fb_published,ticket_type_length,gross_profits_dummie,channels,user_type,sale_duration2
False,1.0,0,False,4,11,3,87
True,0.0,0,False,4,0,1,9
False,0.0,0,False,1,8,3,21
True,0.0,0,False,2,6,3,0
True,0.0,0,False,4,11,1,4
False,1.0,0,False,4,11,4,41
False,0.0,0,False,2,8,3,0
False,1.0,0,False,3,5,3,65
False,1.0,0,False,3,11,3,79
False,0.0,0,False,0,11,4,10
False,0.0,0,False,1,8,3,70
False,1.0,0,False,2,0,3,64
False,0.0,0,False,4,5,1,29
True,0.0,0,False,3,6,3,1
False,1.0,0,False,4,6,3,116
False,0.0,0,False,2,4,4,42
False,1.0,0,False,4,10,3,83
True,0.0,0,False,3,13,1,5
False,0.0,1,False,4,8,3,189
False,0.0,0,False,2,5,3,16
False,0.0,0,False,1,8,3,28
False,1.0,0,False,4,11,3,56
True,0.0,0,False,0,5,1,0
False,0.0,1,False,3,5,4,22
False,1.0,1,False,3,11,4,18
False,0.0,0,False,4,8,3,-37
False,0.0,1,False,2,5,3,22
False,0.0,0,False,4,0,4,0
False,1.0,0,False,2,0,3,19
False,0.0,0,False,3,6,3,19
False,0.0,0,False,3,6,3,21
False,0.0,0,False,2,4,1,153
False,1.0,0,False,1,8,3,190
False,1.0,0,False,2,8,3,212
True,0.0,0,False,1,5,1,11
False,0.0,0,False,0,0,4,40
False,1.0,0,False,4,11,3,145
False,1.0,0,False,1,8,3,38
False,1.0,0,False,4,11,3,178
False,1.0,1,False,4,8,3,115
False,1.0,0,False,3,6,3,54
False,0.0,1,False,2,0,3,4
False,0.0,1,False,3,5,3,39
False,0.0,0,False,3,8,3,23
False,0.0,1,False,1,5,3,12
False,0.0,0,False,2,5,1,186
False,0.0,0,False,1,4,3,19
False,1.0,0,False,4,11,4,157
False,1.0,0,False,4,0,3,78
False,1.0,0,False,2,0,3,0
True,0.0,0,False,0,5,1,1
False,0.0,0,False,4,11,4,15
False,0.0,0,False,4,5,1,72
False,1.0,0,False,3,11,3,98
True,0.0,0,False,0,6,1,5
False,0.0,0,False,1,10,4,5
True,0.0,0,False,3,12,1,1
False,1.0,0,False,2,5,3,25
False,0.0,0,False,3,8,1,41
False,0.0,0,False,3,13,3,155
True,1.0,0,False,0,8,1,153
False,0.0,0,False,2,5,1,21
False,0.0,0,False,2,8,3,80
False,1.0,1,False,4,8,1,67
False,1.0,1,False,4,11,4,128
False,1.0,0,False,4,11,3,114
False,1.0,0,False,4,8,3,3
False,0.0,0,False,2,5,4,21
False,0.0,0,False,3,5,1,7
False,0.0,0,False,4,0,3,116
False,0.0,0,False,3,10,4,9
False,0.0,0,False,3,0,3,19
False,0.0,0,False,4,11,3,78
False,1.0,0,False,4,8,3,48
False,1.0,0,False,2,8,3,89
True,0.0,0,False,0,5,1,1
False,0.0,0,False,2,8,4,46
False,0.0,0,False,2,8,3,26
False,1.0,1,False,4,6,3,36
True,0.0,0,False,4,13,4,0
False,1.0,1,False,3,5,3,15
False,1.0,1,False,4,11,3,55
False,0.0,0,False,1,10,3,84
False,0.0,0,False,1,11,4,27
False,0.0,0,False,1,5,4,24
True,0.0,0,False,0,5,1,87
False,1.0,0,False,4,0,4,59
False,1.0,0,False,3,8,3,64
False,0.0,0,False,3,0,1,17
False,1.0,0,False,0,8,4,152
False,0.0,0,False,4,0,3,40
False,0.0,0,False,4,8,3,63
True,0.0,0,False,0,11,1,20
False,0.0,0,False,3,6,3,24
False,1.0,0,False,1,6,1,9
False,1.0,0,False,2,8,3,39
False,1.0,0,False,4,11,4,39
False,1.0,0,False,3,8,3,85
False,1.0,0,False,1,8,3,28
False,1.0,0,False,4,8,3,16
False,0.0,0,False,2,5,3,58
False,0.0,0,False,2,8,1,29
False,0.0,0,False,1,6,3,14
False,1.0,0,False,3,11,3,30
False,0.0,0,False,2,5,4,11
False,0.0,0,False,3,11,3,80
False,0.0,0,False,2,8,4,29
False,1.0,0,False,3,11,4,30
False,1.0,0,False,4,8,4,68
False,1.0,0,False,3,10,3,12
False,0.0,0,False,2,11,4,59
False,3.0,0,False,3,8,3,35
False,0.0,0,False,1,8,3,9
False,1.0,0,False,4,8,3,94
False,1.0,0,False,4,8,3,122
False,0.0,0,False,2,11,3,8
False,0.0,0,False,3,5,4,38
False,1.0,0,False,2,5,3,151
False,1.0,0,False,2,8,4,13
False,0.0,0,False,1,6,3,19
False,0.0,0,False,2,0,3,18
True,0.0,0,False,0,8,1,40
False,0.0,0,False,3,11,1,45
True,0.0,0,False,0,5,3,8
False,1.0,1,False,4,11,1,178
False,1.0,0,False,1,8,4,27
False,1.0,0,False,3,8,3,25
False,0.0,0,False,3,12,1,37
False,0.0,0,False,2,11,3,18
False,1.0,0,False,4,8,3,270
False,0.0,0,False,4,0,3,2
False,1.0,0,False,3,11,3,41
True,0.0,0,False,0,0,3,40
False,0.0,0,False,4,11,3,30
False,1.0,0,False,4,11,3,84
True,0.0,0,False,1,0,1,-1094
True,0.0,0,False,0,8,1,4
False,1.0,1,False,2,8,3,60
False,1.0,1,False,4,5,3,30
False,0.0,0,False,4,0,3,122
False,0.0,0,False,3,5,3,65
False,1.0,0,False,3,11,3,61
False,0.0,0,False,3,0,4,20
False,1.0,0,False,3,8,4,64
False,0.0,0,False,2,5,4,16
True,0.0,0,False,2,0,1,18
False,0.0,0,False,4,6,1,34
False,1.0,0,False,3,10,1,81
True,0.0,0,False,0,0,3,0
False,1.0,1,False,1,6,3,104
False,0.0,0,False,3,8,3,40
False,0.0,1,False,4,11,3,278
False,1.0,0,False,3,5,4,161
False,1.0,0,False,3,6,4,43
False,1.0,0,False,3,8,3,247
False,1.0,1,False,4,5,3,55
False,1.0,0,False,3,6,3,25
False,0.0,0,False,4,6,1,70
False,0.0,0,False,0,11,3,41
False,1.0,0,False,1,0,3,11
False,1.0,0,False,1,5,3,63
False,1.0,0,False,1,8,3,19
True,0.0,0,True,0,0,1,40
False,0.0,0,False,3,8,3,30
False,1.0,0,False,3,6,3,0
False,0.0,0,False,3,0,3,54
False,0.0,0,False,2,6,3,13
False,1.0,1,False,4,11,3,37
False,0.0,0,False,3,6,1,15
True,0.0,0,False,0,5,1,10
False,0.0,0,False,3,8,3,52
False,0.0,0,False,1,5,4,15
False,1.0,0,False,3,6,3,3
False,1.0,0,False,4,8,4,105
False,0.0,0,False,4,5,4,27
False,0.0,0,False,2,0,4,4
False,0.0,0,False,4,5,1,254
False,1.0,0,False,2,0,1,94
False,1.0,0,False,4,6,1,80
False,0.0,0,False,3,12,3,92
True,0.0,0,False,0,0,3,6
False,1.0,0,False,4,0,1,64
False,1.0,0,False,4,8,1,124
False,0.0,0,False,2,8,3,86
False,1.0,0,False,2,5,4,34
False,1.0,0,False,4,5,3,135
False,0.0,0,False,3,8,3,75
False,0.0,1,False,4,11,1,71
False,0.0,0,False,2,0,4,31
False,0.0,0,False,3,5,1,44
False,0.0,0,False,0,0,1,1
True,0.0,0,False,2,6,1,13
False,0.0,0,False,2,0,1,125
False,0.0,0,False,2,0,1,126
False,1.0,0,False,3,8,3,38
False,0.0,0,False,4,11,3,37
True,0.0,0,False,0,5,1,2
False,0.0,0,False,4,0,4,20
False,1.0,0,False,4,5,3,51
False,1.0,0,False,2,5,3,27
False,0.0,0,False,2,8,3,45
False,0.0,0,False,0,12,3,72
False,1.0,0,False,3,0,3,87
True,0.0,0,False,0,0,1,40
False,1.0,0,False,1,5,3,16
False,1.0,0,False,3,6,3,20
False,1.0,0,False,1,6,3,43
False,1.0,0,False,3,6,3,36
False,1.0,0,False,2,0,4,21
False,1.0,0,False,3,8,4,13
False,0.0,0,False,2,12,3,2
False,1.0,0,False,4,5,3,58
False,1.0,0,False,3,11,1,33
False,0.0,0,False,2,6,1,24
False,3.0,0,False,3,0,1,66
False,1.0,0,False,4,0,3,97
False,0.0,0,False,4,5,3,16
False,0.0,0,False,3,0,1,102
False,1.0,0,False,4,11,1,60
False,0.0,0,False,1,0,4,57
False,0.0,0,False,4,11,1,182
False,0.0,0,False,2,8,3,46
False,1.0,1,False,4,0,3,67
False,0.0,0,False,4,8,3,45
False,1.0,0,False,4,6,1,13
False,1.0,0,False,2,0,1,32
False,3.0,0,False,1,0,1,299
False,1.0,0,False,4,11,4,363
False,0.0,0,False,4,0,1,33
False,1.0,0,False,3,5,4,38
False,0.0,1,False,1,11,1,83
False,1.0,0,False,4,8,3,31
False,1.0,1,False,4,0,3,122
False,0.0,0,False,3,4,3,22
False,0.0,0,False,1,5,3,1
False,0.0,0,False,2,0,4,38
False,0.0,0,False,3,0,3,72
True,0.0,0,False,0,11,1,1
False,0.0,0,False,3,9,3,179
False,0.0,0,False,2,8,1,95
True,0.0,0,False,0,0,1,3
False,0.0,1,False,1,5,3,30
False,1.0,0,False,4,10,1,100
False,0.0,0,False,3,8,4,29
False,1.0,1,False,2,12,4,60
False,0.0,0,False,1,6,4,3
False,0.0,0,False,2,0,4,14
False,1.0,1,False,2,8,1,18
False,1.0,0,False,3,8,3,23
False,0.0,1,False,1,0,4,18
False,0.0,1,False,2,5,4,73
False,0.0,0,False,4,8,3,60
False,0.0,0,False,2,0,1,14
False,0.0,1,False,2,6,3,10
False,0.0,0,False,0,0,1,14
False,0.0,0,False,3,8,5,13
False,0.0,0,False,1,8,1,81
False,0.0,1,False,2,8,3,32
False,0.0,0,False,4,11,3,59
True,0.0,0,False,0,5,1,16
False,1.0,0,False,3,11,3,33
False,0.0,0,False,2,11,4,21
False,0.0,0,False,3,0,3,13
False,1.0,1,False,2,0,3,38
False,1.0,0,False,1,0,4,20
False,0.0,0,False,4,4,4,80
False,1.0,0,False,4,5,3,7
False,0.0,0,False,4,0,4,55
False,1.0,0,False,2,8,3,45
False,1.0,0,False,4,0,3,8
False,0.0,0,False,1,6,1,71
False,0.0,0,False,3,8,4,51
False,0.0,0,False,1,4,4,5
False,0.0,0,False,2,11,4,21
False,0.0,0,False,2,8,3,20
False,0.0,0,False,3,0,3,22
False,0.0,0,False,1,12,1,25
False,1.0,0,False,2,4,1,39
False,1.0,0,False,2,5,1,31
False,1.0,0,False,2,11,1,41
False,1.0,1,False,2,5,3,28
False,0.0,0,False,4,0,3,70
False,1.0,0,False,2,8,1,88
False,0.0,0,False,3,0,3,39
False,0.0,0,False,1,6,3,64
False,0.0,0,False,3,8,4,59
False,0.0,0,False,3,13,3,67
False,0.0,0,False,1,10,3,26
False,1.0,0,False,2,8,3,64
False,0.0,0,False,4,5,3,16
False,1.0,1,False,4,11,3,35
False,0.0,0,False,3,0,4,24
False,0.0,0,False,2,8,3,18
False,1.0,0,False,2,8,4,11
False,3.0,0,False,3,0,3,31
False,1.0,0,False,4,11,3,67
False,1.0,1,False,4,8,3,68
False,1.0,0,False,2,12,3,79
False,0.0,0,False,3,0,4,50
False,0.0,0,False,2,8,4,16
False,0.0,0,False,2,6,1,10
False,0.0,0,False,4,0,1,70
False,1.0,1,False,2,11,3,11
False,1.0,0,False,4,0,3,114
False,0.0,0,False,1,0,3,25
False,1.0,0,False,1,8,3,48
False,1.0,1,False,2,11,3,81
False,0.0,0,False,1,0,3,50
False,3.0,0,False,3,6,1,14
False,1.0,0,False,2,5,1,46
False,0.0,0,False,1,0,4,1
False,0.0,0,False,2,5,1,102
False,0.0,0,False,2,8,4,58
True,0.0,0,False,0,5,4,3
False,1.0,1,False,1,5,3,61
False,0.0,0,False,3,8,3,22
False,0.0,1,False,1,8,1,22
False,3.0,0,False,1,6,3,16
False,0.0,0,False,1,8,1,40
False,0.0,0,False,1,0,1,22
False,3.0,0,False,2,6,3,51
True,0.0,0,False,0,0,1,1
False,1.0,0,False,2,0,1,31
False,1.0,0,False,4,0,3,61
True,0.0,0,False,0,6,1,45
False,0.0,0,False,0,6,1,9
False,0.0,0,False,3,8,3,38
False,0.0,1,False,2,8,3,50
False,1.0,0,False,4,5,3,24
False,0.0,0,False,2,0,1,43
True,0.0,0,True,0,0,3,40
False,0.0,0,False,2,0,1,4
False,1.0,0,False,3,11,4,17
False,1.0,0,False,3,0,3,62
False,0.0,0,False,2,11,3,4
False,0.0,1,False,2,8,1,39
True,0.0,0,False,0,6,1,2
False,1.0,0,False,2,5,3,39
False,0.0,0,False,4,0,4,9
False,1.0,0,False,4,6,4,38
False,1.0,0,False,4,11,3,77
False,3.0,1,False,4,11,4,67
False,0.0,0,False,1,11,3,61
False,1.0,0,False,4,0,1,11
False,0.0,0,False,2,0,3,5
False,0.0,0,False,3,0,4,50
False,0.0,0,False,2,0,4,0
False,0.0,0,False,1,5,3,6
False,1.0,0,False,3,0,1,1
False,1.0,1,False,3,11,4,10
False,0.0,0,False,1,5,1,26
False,0.0,0,False,3,0,4,26
False,0.0,0,False,4,6,3,43
False,0.0,0,False,1,5,1,18
False,0.0,0,False,1,11,1,40
False,0.0,0,False,1,0,1,31
False,0.0,1,False,1,12,1,35
False,0.0,0,False,1,0,1,2
False,0.0,0,False,1,0,4,3
False,0.0,0,False,3,0,3,25
True,0.0,0,False,0,6,1,6
False,0.0,0,False,2,8,3,22
False,1.0,0,False,2,6,3,46
False,0.0,0,False,2,6,3,35
False,0.0,0,False,4,6,3,27
False,0.0,0,False,2,5,1,26
False,1.0,0,False,4,0,4,23
True,0.0,0,False,0,0,1,1
False,0.0,0,False,1,8,1,6
False,0.0,1,False,2,8,1,3
False,1.0,0,False,3,8,3,449
False,1.0,0,False,4,11,4,342
True,0.0,0,False,0,0,1,1
True,4.0,0,False,2,0,3,16
True,4.0,0,False,1,0,3,17
False,1.0,1,False,2,8,4,12
True,0.0,0,False,0,6,3,23
False,0.0,1,False,3,0,4,17
False,0.0,0,False,2,4,3,10
False,0.0,0,False,2,6,1,26
False,0.0,1,False,1,5,4,55
False,1.0,1,False,4,11,3,141
False,0.0,0,False,4,5,3,29
False,0.0,0,False,2,11,1,37
False,0.0,0,False,3,5,3,52
False,0.0,0,False,1,5,3,4
False,0.0,0,False,2,0,3,40
False,0.0,0,False,2,11,3,123
False,0.0,0,False,2,0,3,17
False,0.0,0,False,4,6,3,29
False,0.0,1,False,2,5,3,54
False,1.0,1,False,4,11,3,82
False,1.0,0,False,4,11,3,95
False,1.0,0,False,2,0,4,43
False,0.0,0,False,3,11,4,109
False,1.0,1,False,4,11,1,28
False,1.0,0,False,3,8,3,23
False,1.0,0,False,4,8,3,59
False,1.0,1,False,3,8,3,54
False,1.0,0,False,4,11,1,167
False,1.0,0,False,4,8,4,113
False,1.0,0,False,4,8,3,81
False,1.0,0,False,3,8,4,6
False,0.0,0,False,3,6,3,28
False,0.0,0,False,4,4,1,72
False,1.0,0,False,4,4,4,129
False,0.0,1,False,4,11,3,51
False,0.0,0,False,2,10,4,38
False,0.0,0,False,4,4,3,56
False,1.0,0,False,1,8,3,20
False,0.0,1,False,4,8,3,36
False,1.0,0,False,4,11,3,162
False,1.0,0,False,0,6,5,50
False,0.0,0,False,4,8,4,182
False,3.0,0,False,2,11,3,5
False,0.0,0,False,2,6,3,4
False,0.0,0,False,3,6,3,27
False,1.0,0,False,4,11,4,125
True,0.0,0,False,0,0,1,2
False,1.0,0,False,4,11,3,97
False,0.0,1,False,3,5,4,23
False,0.0,0,False,3,5,4,32
False,1.0,0,False,2,8,3,340
False,0.0,0,False,2,4,3,29
False,1.0,0,False,4,11,3,112
True,1.0,0,False,0,5,3,10
False,1.0,1,False,2,5,1,25
False,0.0,0,False,4,5,3,81
False,0.0,1,False,1,6,3,124
True,0.0,0,False,3,6,1,2
False,1.0,0,False,1,11,3,71
False,1.0,1,False,3,8,4,28
False,1.0,0,False,4,5,4,43
False,1.0,0,False,4,11,3,98
False,1.0,1,False,1,5,1,49
False,1.0,0,False,4,8,4,0
False,1.0,0,False,4,5,1,107
False,0.0,0,False,3,8,4,18
False,1.0,1,False,3,6,4,45
False,1.0,0,False,3,8,4,48
False,1.0,0,False,3,10,3,70
True,0.0,0,False,0,8,1,1
True,0.0,0,False,2,6,1,1
False,0.0,0,False,1,8,3,41
False,0.0,0,False,2,5,3,23
True,0.0,1,False,2,11,3,0
False,1.0,0,False,4,8,4,76
False,0.0,0,False,4,6,3,20
False,0.0,1,False,2,8,3,84
False,1.0,1,False,1,8,3,89
False,0.0,0,False,2,8,4,17
False,3.0,0,False,4,11,1,23
False,0.0,1,False,3,6,4,37
False,0.0,0,False,4,6,3,11
False,0.0,0,False,4,8,1,65
False,0.0,0,False,3,12,3,7
False,0.0,0,False,1,6,1,38
False,0.0,0,False,4,8,1,147
False,1.0,0,False,3,0,4,50
False,0.0,0,False,4,8,4,77
False,1.0,0,False,4,5,3,34
False,1.0,0,False,3,8,3,56
False,0.0,0,False,4,11,1,76
False,0.0,0,False,3,12,4,35
False,1.0,0,False,4,6,3,31
False,0.0,0,False,4,11,3,26
False,0.0,0,False,2,4,1,4
False,1.0,0,False,3,8,3,42
False,0.0,0,False,2,6,1,8
False,1.0,0,False,2,6,3,34
False,1.0,0,False,1,8,3,49
True,0.0,0,False,0,0,1,1
True,0.0,0,False,0,6,1,3
False,1.0,1,False,2,8,4,70
False,1.0,0,False,4,5,3,103
True,0.0,0,False,0,4,1,5
True,0.0,0,False,3,6,1,0
True,0.0,0,False,3,8,1,16
False,0.0,0,False,2,6,3,27
False,1.0,1,False,4,5,3,16
False,1.0,0,False,4,8,4,49
True,0.0,0,False,0,0,1,1
False,1.0,0,False,1,4,4,22
True,0.0,0,False,0,0,1,1
False,1.0,1,False,4,6,4,21
False,0.0,0,False,0,8,1,97
False,0.0,0,False,0,0,4,23
False,3.0,1,False,3,8,4,53
False,1.0,0,False,2,0,3,28
False,0.0,0,False,1,11,1,13
False,0.0,0,False,4,5,1,43
False,1.0,0,False,3,12,3,2
False,1.0,0,False,1,8,3,64
False,1.0,0,False,2,0,3,42
True,0.0,0,False,4,11,1,2
False,1.0,0,False,4,11,3,67
True,0.0,0,False,2,0,1,6
False,1.0,0,False,4,0,3,97
False,1.0,1,False,2,6,3,39
False,1.0,0,False,3,5,3,59
True,0.0,0,False,4,4,3,1
False,1.0,1,False,3,8,4,37
False,0.0,0,False,1,10,3,129
False,1.0,0,False,4,11,3,127
False,0.0,0,False,4,8,4,1
False,0.0,0,False,0,8,3,77
False,1.0,0,False,3,6,3,116
True,0.0,0,False,2,6,3,0
False,0.0,0,False,3,5,3,20
False,0.0,1,False,3,6,4,73
False,0.0,0,False,4,5,1,30
True,0.0,0,False,4,0,3,0
False,1.0,0,False,4,8,4,33
False,0.0,0,False,1,8,3,25
False,0.0,1,False,1,8,3,72
False,1.0,0,False,4,11,4,164
False,0.0,0,False,4,12,3,30
False,0.0,0,False,2,0,1,17
False,0.0,0,False,4,0,3,18
False,0.0,0,False,1,0,4,14
False,0.0,0,False,1,12,3,20
False,0.0,0,False,2,5,4,142
False,0.0,0,False,4,5,3,50
True,0.0,0,False,3,4,1,4
True,0.0,0,False,3,5,1,1
False,1.0,0,False,2,0,3,16
False,0.0,0,False,1,4,4,29
False,0.0,0,False,3,4,1,32
False,0.0,0,False,1,5,4,7
False,0.0,0,False,3,8,3,29
True,0.0,0,False,0,4,1,9
False,1.0,1,False,3,8,3,152
False,0.0,0,False,4,12,3,55
False,1.0,0,False,4,8,3,104
False,1.0,0,False,3,8,3,28
False,1.0,0,False,4,11,4,97
False,1.0,0,False,4,13,3,94
False,1.0,0,False,4,8,1,33
False,0.0,0,False,3,0,3,31
False,0.0,0,False,2,5,3,38
False,0.0,0,False,3,11,4,33
False,1.0,0,False,3,13,3,51
False,3.0,0,False,3,11,1,55
False,0.0,0,False,0,6,3,17
False,1.0,0,False,3,11,4,126
False,1.0,0,False,2,8,3,37
False,0.0,1,False,4,6,3,63
False,0.0,0,False,4,8,1,260
False,1.0,0,False,4,12,3,171
False,0.0,0,False,4,0,4,31
False,0.0,0,False,3,10,3,311
False,0.0,0,False,2,6,3,30
False,3.0,0,False,4,0,3,44
False,1.0,0,False,4,11,4,142
False,1.0,0,False,2,11,4,66
False,1.0,0,False,1,7,3,55
False,1.0,0,False,2,11,3,162
False,1.0,0,False,2,6,1,28
False,0.0,0,False,1,12,3,43
False,1.0,0,False,4,11,3,30
True,0.0,0,False,0,0,1,2
False,0.0,1,False,4,6,1,108
False,1.0,0,False,4,11,3,310
False,1.0,0,False,4,5,3,44
False,0.0,0,False,4,11,3,56
False,1.0,0,False,3,8,3,68
False,1.0,1,False,4,5,4,122
False,1.0,1,False,1,8,3,100
False,1.0,1,False,2,12,3,112
False,1.0,1,False,1,12,3,117
True,0.0,0,False,0,5,1,1
False,1.0,0,False,2,8,3,68
False,0.0,0,False,2,0,4,0
False,0.0,0,False,3,11,3,23
False,1.0,0,False,3,11,1,61
False,0.0,1,False,2,8,3,43
False,1.0,0,False,4,8,3,40
False,1.0,0,False,1,8,3,0
False,1.0,0,False,2,8,1,41
False,1.0,0,False,3,0,3,41
False,1.0,0,False,4,0,3,24
False,0.0,1,False,1,11,3,72
False,0.0,1,False,2,11,3,100
False,0.0,0,False,4,4,4,9
False,0.0,0,False,3,0,4,12
False,0.0,0,False,2,5,4,29
False,0.0,0,False,4,12,4,83
False,0.0,1,False,1,6,3,9
False,1.0,0,False,4,8,4,0
False,0.0,0,False,1,5,3,46
False,1.0,0,False,2,8,3,36
False,1.0,0,False,2,8,3,56
False,0.0,0,False,3,12,3,28
False,3.0,1,False,4,12,3,8
False,0.0,0,False,4,5,3,41
False,1.0,0,False,4,4,1,52
False,1.0,0,False,2,0,3,30
False,0.0,0,False,3,5,3,28
False,1.0,0,False,4,11,4,165
False,0.0,0,False,2,0,4,0
False,1.0,0,False,4,0,3,71
False,0.0,0,False,0,8,1,27
False,0.0,0,False,3,5,4,35
False,1.0,0,False,4,6,3,227
False,0.0,0,False,3,12,1,13
False,1.0,0,False,2,6,1,23
False,1.0,0,False,2,6,3,28
False,1.0,1,False,3,11,4,83
False,1.0,0,False,4,5,3,19
True,0.0,0,False,0,11,1,10
True,0.0,0,False,2,0,1,0
False,1.0,0,False,1,5,1,39
False,0.0,0,False,1,11,5,22
False,0.0,0,False,2,0,1,21
False,0.0,0,False,4,6,3,29
False,0.0,0,False,2,8,3,20
False,1.0,0,False,3,8,3,47
True,0.0,0,False,0,10,1,2
False,0.0,1,False,2,5,3,31
False,0.0,0,False,3,8,3,14
False,0.0,0,False,1,6,1,78
False,0.0,0,False,2,8,3,26
True,0.0,0,True,0,5,1,3
False,0.0,0,False,3,5,4,22
False,1.0,0,False,4,4,3,12
False,1.0,0,False,3,0,4,35
False,1.0,0,False,3,11,4,35
False,1.0,0,False,4,11,4,16
True,0.0,0,False,0,8,4,4
False,1.0,0,False,3,6,3,55
False,1.0,0,False,2,8,4,59
False,0.0,1,False,4,6,3,62
False,0.0,1,False,3,13,3,39
False,1.0,1,False,3,8,3,51
False,1.0,1,False,2,6,3,14
False,0.0,0,False,1,8,1,134
False,1.0,0,False,2,5,4,130
False,1.0,0,False,1,5,4,65
False,0.0,0,False,2,6,1,25
False,0.0,0,False,4,11,3,72
False,0.0,0,False,4,5,1,22
False,0.0,0,False,3,6,1,25
False,0.0,0,False,2,6,1,21
True,0.0,0,False,0,5,1,40
True,0.0,0,False,0,8,1,4
